type,id,parent_id,text
comment,Ugyh-yveW5XXYlCQCzZ4AaABAg,,"Kasus sambo juga awal nya melalui pengakuan tetapi pada akhirnya muncul novum pengkuan baru karna di gali terus , boleh donk rakyat ingin mengetahui segala sesuatu terang seperti cahaya meskipun bakalan ada tersangkanya (toh pihak pelapor yg dianggap fitnah bersedia menerima konsekwensi dgn catat usut uji sampai terang benderang)<br>Tunjukkan kerja profesional demi kemajuan bangsa , merdeka"
comment,UgwqZCqH0_E84SdE-fZ4AaABAg,,Kok klo memang sesama Alumni UGM Yogyakarta..... kenapa takut menunjukan ijasah asli nya sih.....heran publik dan wartawan se dunia 😮😮😢😢😂🤣🤣
comment,UgxxV5V8IjhXYPxC0yZ4AaABAg,,Roy suryo itu  identik dengan dajal bahkan otentik😂😂😂😂😂
comment,Ugwc5mR2f0T906Bs9kV4AaABAg,,Tenang Saja Pasti JKW Menang<br>Orang Jawa kok di Lawan ki piye  🎉🎉🎉
comment,UgzlmQ9PCUVhF46GM0V4AaABAg,,Modar roy suryo cs
comment,UgyEkiMHad_2Xu2M9jd4AaABAg,,mulyono ribet
comment,UgwszOw8D3baucCP07B4AaABAg,,roy selalu mringis
comment,Ugww5H47TMZIyD7SlrN4AaABAg,,Roti Suryo gak punya adab
comment,UgzD-bug-G6Uri5EpoJ4AaABAg,,BUKAN KEAHLIAN POLRI YG DIRAGUKAN OLH MSRKT TETAPI INTEGRITAS DN KEJUJURANNYA  KRN RKYT BERKACA PD KREDIBILITAS POLRI YG TDK  FAIR DN JUJUR... BYK KASUS YG DIREKAYA DN DITUTUPI JK MENYANGKUT PENGUASA... SPRT PIK 2 KM. 50  KENAPA CCTV YG MATI HY DI TKP. SJ SDG LAINNYA BAIK BAIK SJ   DN TERMSK DIINTENAL POLRI SNDIRI SPT SAMBO JUDOL.. DSB... MK WJR RKYT RAGU  AKN KEBENARAN PERNYATAAN BARESKRIM.. APLG TDK DIDUKUNG OLH BRG BUKTI SBG FAKTA YG TDK TERBANTAHKN.. APLG HY PRNYATAAN SEPIHAK TANPA MELIBATKAN  PIHAK LAIN YG INDEVENDEN. TERMSK RISMON..SIANIPAR ROY SURYO YG NOTABENYA MRK  JG. SDH MALANG MELUNTANG  D PORENSIK POLRI.... DN TENTUNYA YG TDK KLH  PENTING. KENAPA PRABOWO MENGAMBIL KEBIJAKAN  TNI IKUT MENGAWAL  GEDUNG PENGADILAN HGG MENGAWAL HAKIKM DN JAKSANYA.. PDHL SDH ADA POLRI DISANA.. BUKANKAH POLRI TDK PROPESIONAL.. DLM PENGAMANN.. TENTU SCR LOGI TDK... DN SCR LOGIKA BERARTI PRABOWO SNDIRI MERAGUKAN INTEGRITAS DN KEJUJURAN POLRI.. YG TDK PROPESIONAL. KRN FAKTA SDH BYK MEMBUKTIKAN... BGITUPUN DGN RKYT YG WARAS... DN TERHADAP IJAZAH   TDK PENGARUH DN MAMFAATNYA BG NGR DN PMERINTAHN JK PUN TERBUKTI PALSU KRN SDH BERLAKU DN ITU ADA BENARNYA.. WALPUN SCR UU DN KONSITUSI   MELARANGNYA. BHKAN ISU TDK BERPENGARUH BG RKYT... JK. RAKYAT SEMAKIN MAKMUR DN SEJAHTRA... ISU INI SLL DIGAUNGKAN DN RKYT BYK YG INGIN MMBUKTIKAN KEABSAHANNYA . JLS  KRN HSL KEBIKAKANNYA. HUKUM EKONOMI DN DEMOKRASI YG BOBROK.. HUSUSNYA YG DIRASAKAN OLH RKYT EKONOMINYA SRMAKIN SULIT  DN SEBALIKNYA  JK RKYT SEMAKIN SEJAHTERA ISU IJAZAH TDK AKN LAKU..
comment,Ugw8Ban1YGb_5yqxJft4AaABAg,,Semoga roy suryo cepet masuk penjara biar
comment,UgxXeAJcDIl6vTcg8wp4AaABAg,,"Andaikata apa yg dilakukan pak Roy Suryo dkk menjerat dirinya, bisakah UGM menuntut balik Roy Suryo dkk karena sdh melecehkan lembaga dalam hal ini UGM?"
comment,Ugx4DhHhH5WAMVyy0Qp4AaABAg,,Roy. S : BADUT<br>🤡🤡🤡
comment,UgxumsT0NsitzXzDPJd4AaABAg,,"Lanjutkan pak Roy,,,"
comment,Ugz_EYMtpTYSKaFbaOl4AaABAg,,Wajarlah brow mau kiamat pada gak takut dosa
comment,UgyxgsKZvdDMwbikObd4AaABAg,,"....&quot;buktikan<br>b u k t i k a n . . .<br>kalau hanya omong saja<br>burung BEO&#39;pun PINTAR<br><br>yang dikatakan foto copy yang memakai cap dinyatakan asli semakin membuat rakyat percaya....<br><br>P A L S U<br><br>hentikan saja <br>dan <br>selanjutnya biar ditangani ahlinya....<br><br>jangan hanya ribut<br>katanya roy, simon, &amp; tifa dilaporkan <br>ya, laporkan saja<br>kalau berani....<br>dan <br>rakyat menunggu..!!!<br><br>negeriku<br>n g e r i k u<br>☝️👀  🇮🇩<br><br>(kata paeman kongkow diatas sofa becak balap)"
comment,UgxCvRhRoO7N8OH8oFN4AaABAg,,Ini bukan masalah asli atau palsu ini masalahnya pak Mulyono sering bohong makanya orang banyak ga percaya inti krisis kepercayaan aja
comment,UgzFjIiyPtiEFzHv1tJ4AaABAg,,"Ini mah bukan dua arah, karena gak berimbang 3 lawan 1"
comment,UgzAcIPSXdwDxOG3WmV4AaABAg,,Rai panci anak 100 bapak
comment,Ugz8y8QE7oSEzQMz_jx4AaABAg,,Indo  Bangsaku .mari kita saling introspeksi diri msg .mengubah diri kearah kebaikan dan kejujuran .agar bgs kita kita maju dan sejahtera mks
comment,Ugzew3qxEU6PMf6jHMV4AaABAg,,"SELAMAT, KEDUNGUAN YANG ANDA BUAT MENJADI KELUCUAN BERSAMA...<br><br>TRUSS SAMPAI PENGADILAN"
comment,UgxnpLEYeBQcFWb2cgZ4AaABAg,,Pers Bareskrim gunanya agar selesai kasus ini krna paham betul jika terus dilanjutkan maka akan terbongkar kebohongan di atas kebohongan.
comment,UgyI2uk0mpn6bHdk2Tx4AaABAg,,Sah tdk sah itu keluaran nya thn berapa🤭gitu lo
comment,Ugz0BedyK_hjrA-P4Il4AaABAg,,Sdh di bilang mana ada jeruk makan jeruk🤭
comment,Ugw5W7YOQrhFV2p-ikZ4AaABAg,,Bolak balik Roy gag percaya Ama hukum di indonesia waras gag Roy itu saya curiga dengan Roy ujung 2 ya nanti kalau mau di penjara ada keterangan Roy kurang waras
comment,UgxUUZ5ABRXjV2t8ir54AaABAg,,Sukanya kok ngobok2 ketenangan orang lain..SDH kepengadilan saja yg salah hukum seberat2nya karena SDH mencemarkan nama baik
comment,Ugz_Vn7NfjaWtxDpvc94AaABAg,,"KEBANGETAN INDONESIA MAU DIBAWA KEMANA KEDUNGUAN TUH, KETIKA LEMBAGA NEGARA YANG DISEBUT POLRI BARESKRIM, MEMBODOHKAN MASYARAKAT, DENGAN TIDAK DUBUKA DENGAN TERANG BENDERANG, PANTESAN PENJAJAH LAMA MENGHUN INDONESIA, LAWONG BEGINI, IHHHHH TAKUTTT DEH,🥵🥶"
comment,UgxkZGCIBbLArjC-ocB4AaABAg,,ketoro ra duwe pergawean bang roy kui. kok ra pegel jer usrek bahas ijasah. kok ra meniren lambene. toh di bayari sopo bay roy
comment,Ugx7SoTCCFtck0Lq1AB4AaABAg,,"itu fotocopy, bukan asli"
comment,Ugymju3jynvEkTgqQfN4AaABAg,,"Gerombolan roy panci dkk sampah negara,"
comment,UgzDl84xdLMzNgELPmx4AaABAg,,"Jadi menteri saja dipecat, mau ngatur2 negara pula si RS  gak ada kerjaan apa ? Media juga jgn suka cari perkara yg abal2, negara kita butuh masa depan bukan rating dan buat fitnah terus"
comment,Ugw5JWhGLfnziUT3ETp4AaABAg,,Gini amat indonesia😂
comment,UgxzRHV4JJMzCI7EzdJ4AaABAg,,Duit palsu sama duit palsu di uji forensik hsil nya identik jga
comment,UgyaY6YRwJrnmVjE5tR4AaABAg,,Roy ketawa ketiwi kyk orang bingung
comment,UgwL_PdSzsIqCe5ZK_B4AaABAg,,roy scr tdk sadar menjatuhkan ugm
comment,UgyeLgAexLcm3xVcfUJ4AaABAg,,Bagus Roy Suryo pantes di penjara setuju
comment,UgzQErgKXA5b6eI77T94AaABAg,,Pengacara Mukidi yang penting ngeyel aja dulu....karena itu ordernya.....dibayar untuk ngeyel...
comment,UgxCP0RfaK3lcbh3gE14AaABAg,,Makanya konoha gak maju2 banyakan si tukang beracara drpd ilmuan
